candidate_id,smiles,inchikey,family,nearest_solvfunc_name,nearest_solvfunc_category,max_tanimoto_solvfunc,max_tanimoto_v01,novelty,tier,predicted_dielectric,posterior_std,std_percentile,acquisition_score,cluster,hazard_flags,manual_review_warnings,mp_c,bp_c,literature_doi,availability_status,decision_status,source_commit,model_input_sha256
alr1:011225,FC1=C(F)OC(F)O1,DVGMEMIEJCUCIC-UHFFFAOYSA-N,Cyclic Carbonates,Difluoroethylene carbonate,Cyclic Carbonates,0.3157894736842105,0.08,0.92,B,36.68519343082131,28.596535755878694,0.965782122905028,0.8885195530726258,Cyclic Carbonates,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:049339,FC1OC(F)C(F)OC1F,WTYHWESDRLPOOR-UHFFFAOYSA-N,Cyclic Carbonates,Difluoroethylene carbonate,Cyclic Carbonates,0.3125,0.07692307692307693,0.9230769230769231,B,22.557512562497024,28.228419140834845,0.962139199255121,0.8881284916201118,Cyclic Carbonates,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:052651,c1coc2occoc=2o1,GXBLPHXWGFLGOU-UHFFFAOYSA-N,Cyclic Carbonates,Vinylene Carbonate,Cyclic Carbonates,0.42857142857142855,0.1111111111111111,0.8888888888888888,A,14.619674692836814,38.47682615912006,0.9984520484171322,0.8875129319263397,Cyclic Carbonates,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:051466,FC1OCC(F)(F)C1(F)F,PZQWHSFXTUHHEO-UHFFFAOYSA-N,Ethers,"3,3,4,4,5,5-hexafluorooxane",Ethers,0.30434782608695654,0.09523809523809523,0.9047619047619048,B,45.519196317794126,30.408584234586712,0.98012104283054,0.8867761816085838,Ethers,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:045358,FC1=C(F)OC(F)C(F)O1,LJPBNHHQEDBYAH-UHFFFAOYSA-N,Cyclic Carbonates,Difluoroethylene carbonate,Cyclic Carbonates,0.47058823529411764,0.08,0.92,A,28.208431787005217,28.051606926300312,0.9598812849162012,0.8830907821229051,Cyclic Carbonates,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:016090,O=S1OC(F)C(F)O1,ICMCMVNOWBUCGB-UHFFFAOYSA-N,Cyclic Carbonates,Difluoroethylene carbonate,Cyclic Carbonates,0.3,0.09523809523809523,0.9047619047619048,B,34.180702665112726,29.20626587474774,0.9716364059590317,0.8790996053915049,Cyclic Carbonates,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:029920,COC1CC2CN(C2)C1,GJBOAOLPIBKSCF-UHFFFAOYSA-N,Ethers,Cyclopentyl methyl ether,Ethers,0.3333333333333333,0.125,0.875,B,18.88050997793006,35.868774899330944,0.9962988826815642,0.8717615223463686,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:071588,FC(F)COc1ncccn1,PVWSBYGYZFWBIX-UHFFFAOYSA-N,Ethers,"bis(2,2-difluoroethyl)ether",Ethers,0.34782608695652173,0.11538461538461539,0.8846153846153846,B,42.77623603942773,31.372047599478343,0.9841596834264432,0.8706027968772382,Ethers,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:055557,CN1CC2COCOC2C1,LWCDTCHOIVZBAM-UHFFFAOYSA-N,Ethers,"4-Methyl-1,3-dioxolane",Ethers,0.35714285714285715,0.11538461538461539,0.8846153846153846,B,20.772804780262685,31.285781162078372,0.9838454376163873,0.8703248101991118,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
alr1:031256,C1OC(OC2OCO2)O1,KMIAJDDHRSOJOL-UHFFFAOYSA-N,Ethers,"2-methoxy-1,3-dioxolane",Ethers,0.3,0.125,0.875,B,21.45886448124376,34.97884548438691,0.9944366852886406,0.8701320996275606,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396
