candidate_id,smiles,inchikey,family,nearest_solvfunc_name,nearest_solvfunc_category,max_tanimoto_solvfunc,max_tanimoto_v01,novelty,tier,predicted_dielectric,posterior_std,std_percentile,acquisition_score,cluster,hazard_flags,manual_review_warnings,mp_c,bp_c,literature_doi,availability_status,decision_status,source_commit,model_input_sha256,selection_order,selection_step_score
alr1:011225,FC1=C(F)OC(F)O1,DVGMEMIEJCUCIC-UHFFFAOYSA-N,Cyclic Carbonates,Difluoroethylene carbonate,Cyclic Carbonates,0.3157894736842105,0.08,0.92,B,36.68519343082131,28.596535755878694,0.965782122905028,0.8885195530726258,Cyclic Carbonates,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,1,0.8885195530726258
alr1:009863,O=COCC(Cl)(Cl)Cl,VUNGRCQXMOZQMG-UHFFFAOYSA-N,Formates,n-Propyl formate,Formates,0.34782608695652173,0.13636363636363635,0.8636363636363636,B,24.181144772385494,33.97380196401287,0.9909450651769087,0.8558161926527849,Formates,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,2,1.0
alr1:065608,COC1CN(C(C)OC)C1,MGSVDECYQXZMSD-UHFFFAOYSA-N,Ethers,Cyclopentyl methyl ether,Ethers,0.32,0.15384615384615385,0.8461538461538461,B,22.883156262645137,30.65370130489141,0.9813081936685288,0.830337702334909,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,3,0.967741935483871
alr1:062084,C1CCC2(OC1)OCCO2,NDUPZRVIJRGJBJ-UHFFFAOYSA-N,Ethers,"2,2-bis(trifluoromethyl)-1,3-dioxolane",Ethers,0.3181818181818182,0.16666666666666666,0.8333333333333334,B,28.209329915957092,34.415670956845666,0.9924930167597765,0.8270775139664804,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,4,0.9615384615384616
alr1:055676,CCOCc1ncccn1,BIMRLBCIRDTAMM-UHFFFAOYSA-N,Ethers,Diethyl ether,Ethers,0.3333333333333333,0.18518518518518517,0.8148148148148149,B,19.197940101920334,30.26996250310703,0.9794692737430167,0.7980860749017175,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,5,0.9411764705882353
alr1:051129,C1=CC(C2COCO2)C=C1,UUEMXZCZHSIAKR-UHFFFAOYSA-N,Ethers,"4-Methyl-1,3-dioxolane",Ethers,0.34615384615384615,0.13043478260869565,0.8695652173913043,B,51.100108322898045,28.0130700239911,0.9591829608938548,0.8340721399076998,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,6,0.9333333333333333
alr1:045365,FC(F)COC(F)C(F)F,AEAZCRYEMKIHDY-UHFFFAOYSA-N,Ethers,"bis(2,2-difluoroethyl)ether",Ethers,0.4444444444444444,0.18181818181818182,0.8181818181818181,A,36.50043859028254,27.58821888994055,0.9527467411545624,0.7795200609446419,Ethers,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,7,0.9310344827586207
alr1:074375,C=CC1(C=C)COC(=O)OC1,UVRVIMGGDMTWSP-UHFFFAOYSA-N,Cyclic Carbonates,ethylene carbonate,Cyclic Carbonates,0.36363636363636365,0.21428571428571427,0.7857142857142857,B,25.413782759546805,35.71278050927888,0.9960428305400373,0.7826050811386007,Cyclic Carbonates,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,8,0.9032258064516129
alr1:052651,c1coc2occoc=2o1,GXBLPHXWGFLGOU-UHFFFAOYSA-N,Cyclic Carbonates,Vinylene Carbonate,Cyclic Carbonates,0.42857142857142855,0.1111111111111111,0.8888888888888888,A,14.619674692836814,38.47682615912006,0.9984520484171322,0.8875129319263397,Cyclic Carbonates,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,9,0.8947368421052632
alr1:061066,CN=NOCC1CCCO1,XZRLDDKSSUASBK-UHFFFAOYSA-N,Ethers,2-Methyl tetrahydrofurane,Ethers,0.3225806451612903,0.15625,0.84375,B,90.868888161492,28.802516908570503,0.9678887337057728,0.8166561190642457,Ethers,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,10,0.8918918918918919
alr1:018760,CC(C#N)C(Cl)(Cl)Cl,UXIIYXXIALHYCJ-UHFFFAOYSA-N,Nitriles,i-Butyronitrile (Isobutyronitrile),Nitriles,0.4117647058823529,0.19047619047619047,0.8095238095238095,A,25.36750178186635,34.670617926868104,0.9933193668528864,0.804115677928527,Nitriles,,polyhalogenated_alkyl,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,11,0.8709677419354839
alr1:059183,CCC1CC2C(=O)CC2O1,IBWVLSNKYFOREX-UHFFFAOYSA-N,Cyclic Carbonates,"1,2-Butylene carbonate",Cyclic Carbonates,0.35294117647058826,0.14285714285714285,0.8571428571428572,B,22.677443671368724,26.004616420247988,0.923614990689013,0.791669992019154,Cyclic Carbonates,,,,,,unknown,awaiting_manual_review,a5101e30c6975552d97e34f1e93461126715c862,6f31c5b22a6a85a14954d3103a9ce5498eb4cdb265e55cfc8679adb78e4e5396,12,0.8666666666666667
